id,rtti_name,short_name,vtable_rva
1,ActionStateUpdatedEvent,actionstateupdated,0x2a5ea50
2,ActivateEvent,activate,0x2a5e938
3,ActivateDefaultStanceEvent,activatedefaultstance,0x2b26d00
4,ActivateEffectEvent,activateeffect,0x2b47258
5,ActivateSensorEvent,activatesensor,0x2a86970
6,ActorTransferPodArrivedEvent,actortransferpodarrived,0x2b42b08
7,AddCollisionFilterEvent,addcollisionfilter,0x2b43240
8,AddMapBlipEvent,addmapblip,0x2b43080
9,AddOxygenTimeEvent,addoxygentime,0x2b42398
10,AddTempZoneEvent,addtempzone,0x2b46688
11,AIOrderCancelledEvent,aiordercancelled,0x2b43748
12,AIOrderFinishedEvent,aiorderfinished,0x2b42f30
13,AIOrderParamEditedEvent,aiorderparamedited,0x2b42ef8
14,AIOrderReadyEvent,aiorderready,0x2b43780
15,AIOrderSyncPointReleasedEvent,aiordersyncpointreleased,0x2b42fa0
16,AirlockCycledEvent,airlockcycled,0x2b42440
17,AlertLevelChangedEvent,alertlevelchanged,0x2b44d28
18,AmmoChangedEvent,ammochanged,0x2b42600
19,AnimationTickedEvent,animationticked,0x2c198d8
20,AnimationTimerExpiredEvent,animationtimerexpired,0x2b4bed0
21,ApproachingWaypointEvent,approachingwaypoint,0x2b45700
22,AreaDamageTriggeredEvent,areadamagetriggered,0x2b42248
23,ArrivedAtWaypointEvent,arrivedatwaypoint,0x2b4bb50
24,AssignHiredActorEvent,assignhiredactor,0x2b42b40
25,AttachBombEvent,attachbomb,0x2b26de0
26,AttachmentEnteredEvent,attachmententered,0x2b43048
27,AttachmentLeftEvent,attachmentleft,0x2b42868
28,AttachShipToDockEvent,attachshiptodock,0x2b461b8
29,AttackedEvent,attacked,0x2b45a48
30,AttackedComponentEvent,attackedcomponent,0x2b45a10
31,AttackStartedEvent,attackstarted,0x2b43b00
32,AttackStoppedEvent,attackstopped,0x2b43ac8
33,AutoPilotDeactivatedEvent,autopilotdeactivated,0x2acf6d0
34,AutoPilotTargetSetEvent,autopilottargetset,0x2b433c8
35,BecameFormationLeaderEvent,becameformationleader,0x2b4baa8
36,BecameFormationWingmanEvent,becameformationwingman,0x2b4ba70
37,BoardingOperationAbortedEvent,boardingoperationaborted,0x2b44078
38,BoardingOperationCreatedEvent,boardingoperationcreated,0x2b44008
39,BoardingOperationRemovedEvent,boardingoperationremoved,0x2b43f60
40,BoardingOperationStartedEvent,boardingoperationstarted,0x2b440b0
41,BoardingPhaseChangedEvent,boardingphasechanged,0x2b43f28
42,BoardingSupportFailedEvent,boardingsupportfailed,0x2b4bd48
43,BoardingSupportRequestedEvent,boardingsupportrequested,0x2b43f98
44,BoardingSupportSucceededEvent,boardingsupportsucceeded,0x2b4bd10
45,BoardingTriggeredEvent,boardingtriggered,0x2b43fd0
46,BombAttachedEvent,bombattached,0x2b47300
47,BombDefusedEvent,bombdefused,0x2b47290
48,BoostChargeFinishedEvent,boostchargefinished,0x2a86cb8
49,BoostChargeStartedEvent,boostchargestarted,0x2a86d98
50,BoostChargeAbortedEvent,boostchargestopped,0x2a86cf0
51,BoostDisabledEvent,boostdisabled,0x2b4c100
52,BoostStartedEvent,booststarted,0x2a86d28
53,BoostStoppedEvent,booststopped,0x2a86d60
54,BuildCancelledEvent,buildcancelled,0x2b46c00
55,BuildFinishedEvent,buildfinished,0x2b46ce0
56,BuildFinishedComponentsEvent,buildfinishedcomponents,0x2b46ca8
57,BuildPausedEvent,buildpaused,0x2b46b58
58,BuildPlotChangedEvent,buildplotchanged,0x2b46d88
59,BuildResumedEvent,buildresumed,0x2b46b90
60,BuildStartedEvent,buildstarted,0x2b46c38
61,BuildStorageMovedEvent,buildstoragemoved,0x2a5eb68
62,BuildTaskAddedEvent,buildtaskadded,0x2b46b20
63,BuildTaskLoadoutAppliedEvent,buildtaskloadoutapplied,0x2b46a78
64,CameraEnteredEvent,cameraentered,0x2b4c090
65,CameraLeftEvent,cameraleft,0x2b4c058
66,CeaseFireEvent,ceasefire,0x2b46810
67,ChangedAdjacentZoneAttentionEvent,changedadjacentzoneattention,0x2a5eba0
68,ChangedAssignmentEvent,changedassignment,0x2b45038
69,ChangedAttentionEvent,changedattention,0x2b44e40
70,ChangedClusterEvent,changedcluster,0x2b458c0
71,ChangeDefenceDroneModeEvent,changedefencedronemode,0x2b44938
72,ChangedEnvironmentObjectEvent,changedenvironmentobject,0x2b457a8
73,ChangedHiddenStateEvent,changedhiddenstate,0x2b44eb0
74,ChangedHighwaySectionEvent,changedhighwaysection,0x2ab55a0
75,ChangedNameEvent,changedname,0x2b45770
76,ChangedObjectEvent,changedobject,0x2b45ce8
77,ChangedOwnerEvent,changedowner,0x2b45818
78,ChangedOwnershipContestedEvent,changedownershipcontested,0x2b456c8
79,ChangedPlayerActivityEvent,changedplayeractivity,0x2ae5910
80,ChangedRoomEvent,changedroom,0x2b45e00
81,ChangedSceneEvent,changedscene,0x2b45888
82,ChangedSectorEvent,changedsector,0x2b458f8
83,ChangedStateEvent,changedstate,0x2b44ee8
84,ChangedSubordinateGroupEvent,changedsubordinategroup,0x2b45000
85,ChangedTrueOwnerEvent,changedtrueowner,0x2b457e0
86,ChangedZoneEvent,changedzone,0x2b45850
87,ChangeGeometryStateEvent,changegeometrystate,0x2b463e8
88,ChangeMiningDroneModeEvent,changeminingdronemode,0x2b44900
89,ChangeMovementEvent,changemovement,0x2b463b0
90,ChangeRoomEvent,changeroom,0x2b465e0
91,ChangeTransportDroneModeEvent,changetransportdronemode,0x2b447e8
92,CharacterAnimationFinishedEvent,characteranimationfinished,0x2b46618
93,CharacterAnimationStartedEvent,characteranimationstarted,0x2b46650
94,ClaimedAsSalvageEvent,claimedassalvage,0x2b46fb8
95,ClaimedShipEvent,claimedship,0x2b435c0
96,ClearCollidingObjectEvent,clearcollidingobject,0x2b26cc8
97,ClusterAddedEvent,clusteradded,0x2b44660
98,ClusterRemovedEvent,clusterremoved,0x2b44628
99,CockpitToggledEvent,cockpittoggled,0x2b4b840
100,CockpitViewActivatedEvent,cockpitviewactivated,0x2b4b920
101,CollectedAmmoEvent,collectedammo,0x2b467d8
102,CollectedPowerUpEvent,collectedpowerup,0x2a5ea18
103,CollectedResourceEvent,collectedresource,0x2b46848
104,CollectedWareEvent,collectedware,0x2b46768
105,CollectWareFailedEvent,collectwarefailed,0x2b45f88
106,CollisionEvent,collision,0x2b422f0
107,CommanderSetEvent,commanderset,0x2b45658
108,ComponentDismantledEvent,componentdismantled,0x2b47108
109,ConstructionSequenceGeneratedEvent,constructionsequencegenerated,0x2b42de0
110,ControlEntityAddedEvent,controlentityadded,0x2b45b98
111,ControlEntityRemovedEvent,controlentityremoved,0x2b45b60
112,ControlStartedEvent,controlstarted,0x2b45c08
113,ControlStoppedEvent,controlstopped,0x2b45bd0
114,ConversationFinishedEvent,conversationfinished,0x2b43cc0
115,ConversationNextSectionEvent,conversationnextsection,0x2b43c50
116,ConversationReturnedToSectionEvent,conversationreturnedtosection,0x2b43c18
117,ConversationStartedEvent,conversationstarted,0x2b43cf8
118,CooldownFinishedEvent,cooldownfinished,0x2b26c58
119,CountermeasureLaunchedEvent,countermeasurelaunched,0x2b45348
120,CrateEnteredEvent,crateentered,0x2b45dc8
121,CrateLeftEvent,crateleft,0x2b45d90
122,CrateOpenedEvent,crateopened,0x2b45e38
123,CutsceneCameraCreatedEvent,cutscenecameracreated,0x2c086f8
124,CutsceneReadyEvent,cutsceneready,0x2c08840
125,CutsceneSignalEvent,cutscenesignal,0x2c08878
126,CutsceneStartedEvent,cutscenestarted,0x2c08808
127,CutsceneStoppedEvent,cutscenestopped,0x2c088b0
128,CycledActiveWeaponAmmoEvent,cycledactiveweaponammo,0x2a868c8
129,DamageEvent,damage,0x2b469d0
